Ignoto_1;Ignoto_2
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;1
0;2
0;3
0;5
0;4
0;13
0;27
0;30
9;63
73;215
692;1574
1037;2847
775;2674
544;2388
430;2147
407;2101
348;1979
301;1955
288;2023
296;1972
298;1920
289;2001
297;1910
280;1887
283;1929
286;1880
285;1893
275;1925
310;1915
272;1959
283;1900
296;1949
264;1892
281;1864
264;1929
285;1905
259;1901
274;1842
284;1977
286;1945
294;1808
297;1874
285;1872
271;1890
286;1896
284;1865
284;1890
326;1921
310;1900
270;1917
260;1915
308;1871
288;1851
270;1946
259;1811
257;1865
269;1914
296;1922
265;1934
282;1886
314;1879
285;1858
289;1908
259;1942
267;1848
270;1863
278;1920
294;1853
289;1948
277;1863
303;1858
282;1872
278;1858
307;1793
294;1941
281;1912
272;1958
310;1915
307;1936
277;1919
258;1834
298;1825
299;1875
308;1916
315;1897
279;1901
304;1908
296;1926
295;1917
293;1900
318;1804
316;1888
333;1920
319;1877
280;1881
281;1877
339;1849
269;1848
301;1866
311;1967
332;1802
317;1910
309;1926
319;1938
312;1904
333;1946
294;1865
353;1859
319;1815
341;1859
301;1907
317;1810
302;1886
342;1870
303;1904
326;1748
306;1849
325;1936
317;1816
320;1865
326;1949
351;1890
323;1919
323;1893
342;1921
315;1881
320;1780
357;1926
314;1804
296;1842
373;1792
318;1878
314;1806
311;1846
343;1892
321;1848
330;1852
317;1809
324;1842
319;1844
335;1869
322;1868
322;1843
333;1831
335;1866
345;1847
341;1870
316;1843
331;1823
337;1860
302;1843
331;1868
306;1850
319;1895
346;1884
359;1722
332;1855
323;1804
327;1789
333;1803
333;1836
330;1761
327;1828
338;1771
358;1833
315;1758
346;1806
378;1797
341;1816
375;1792
335;1839
378;1836
355;1839
365;1879
348;1831
333;1808
350;1829
374;1854
299;1773
346;1716
359;1816
323;1858
332;1834
356;1737
368;1804
365;1790
