133Bario;137Cesio;22Sodio;241Americio;Fondo
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;1;0;0;0
0;2;0;0;0
0;6;1;2;11
32;56;23;16;161
679;685;170;249;1539
2348;2047;236;469;1714
2646;2173;184;423;1269
2655;2117;135;415;867
2706;2246;129;400;574
2721;2121;110;402;457
2669;2153;93;386;355
2741;2251;101;390;328
2881;2154;76;385;270
2848;2222;83;369;281
2874;2222;70;360;226
2841;2231;78;411;222
2951;2267;87;384;208
2937;2230;92;390;237
2994;2346;81;384;226
2970;2305;89;374;251
3031;2395;91;396;225
3180;2265;78;385;279
2962;2364;75;342;241
3044;2300;68;389;247
3067;2432;74;358;249
3002;2492;79;359;236
2999;2389;63;375;238
2826;2415;63;367;270
2834;2369;95;361;244
2801;2363;82;373;220
2756;2308;68;354;258
2609;2303;84;363;256
2585;2308;87;395;243
2434;2251;71;412;228
2509;2241;80;349;241
2359;2180;75;357;252
2279;2231;95;369;266
2192;2079;77;338;276
2292;2083;78;386;249
2188;1950;72;353;249
2134;1999;89;391;282
2092;1980;69;381;245
1909;2010;78;365;263
1942;1932;84;361;259
1936;1852;89;391;245
1917;1858;92;372;286
1815;1756;78;407;273
1742;1767;94;378;285
1765;1723;78;407;273
1736;1634;82;395;258
1650;1694;87;413;278
1679;1599;91;376;267
1654;1612;76;383;259
1683;1628;90;431;294
1687;1571;81;413;290
1622;1649;88;412;324
1558;1519;87;415;280
1579;1599;81;423;254
1577;1562;85;397;294
1644;1559;82;412;306
1573;1557;79;408;292
1647;1510;88;452;297
1532;1585;84;388;326
1689;1550;91;435;295
1574;1542;98;444;300
1617;1532;83;435;283
1653;1538;100;458;298
1596;1599;85;427;295
1561;1562;99;456;330
1605;1495;114;484;329
1634;1474;85;439;301
1604;1524;91;473;305
1567;1523;100;476;336
1647;1402;93;504;303
1607;1519;96;507;321
1568;1579;95;520;339
1591;1483;95;515;332
1612;1454;97;561;330
1625;1464;117;583;330
1731;1444;95;598;340
1612;1497;107;622;342
1720;1478;103;602;377
1669;1531;110;622;360
1683;1575;94;668;331
1810;1565;92;687;351
1739;1587;108;704;337
1658;1496;86;763;360
1734;1541;100;782;385
1826;1535;111;792;369
1853;1550;102;812;376
1828;1524;113;838;388
1955;1617;106;895;376
1901;1573;101;880;387
1909;1633;105;964;391
1991;1699;107;902;398
2031;1679;107;934;391
2003;1613;104;953;429
1980;1646;104;1012;360
2023;1778;112;1064;395
2148;1728;118;1024;402
2141;1754;99;1063;385
2124;1664;109;1051;438
2110;1665;92;1060;395
1979;1782;129;1013;452
2105;1693;99;1055;405
2060;1745;100;1082;436
1978;1688;101;1100;404
2089;1798;125;1107;437
1941;1729;105;1061;471
2007;1724;101;1013;440
2010;1805;121;1108;405
1941;1693;108;1114;440
1838;1690;122;1123;425
1890;1677;118;1103;468
1789;1646;109;1103;457
1690;1695;118;1090;452
1650;1658;119;1117;494
1529;1531;116;1118;478
1508;1530;110;1067;475
1460;1503;116;1101;484
1403;1491;105;1058;449
1273;1480;129;1056;489
1295;1436;106;1097;501
1186;1349;108;1144;496
1092;1260;130;1100;544
1082;1270;121;1121;511
996;1279;119;1073;498
978;1164;120;1059;512
944;1161;113;1191;524
851;1069;132;1154;490
789;1144;128;1117;576
785;1050;129;1155;557
771;987;117;1178;557
751;1013;119;1159;539
659;943;117;1189;520
681;916;121;1208;571
659;933;122;1215;546
629;901;130;1200;547
567;867;111;1231;534
556;851;135;1179;575
568;852;123;1269;556
542;848;121;1268;561
539;780;132;1292;593
