lambda;baseline;T;R
400;6.1;4.9;2.5
410;7.4;6;2.9
420;9.5;7.3;3.4
430;12;9;4.5
440;15.5;11.2;6.3
450;19.5;13.1;8.5
460;24.4;14.9;12.5
470;29.6;16.4;17
480;36.2;17.6;22.4
490;43.3;18.3;28
500;50.9;18.7;34.5
510;59.9;19;40.4
520;69;19.4;47.4
530;79.4;19.9;54.6
540;89.6;20.5;63
550;100.6;21.6;67.5
560;110.5;23;74.9
570;121.4;24.5;81.5
580;133.9;26.4;83.6
590;147.3;29.7;87.4
600;157.4;33.4;92
610;169.5;38;94
620;180.7;43.2;95.5
630;189.3;49.5;95.9
640;197.1;57.2;96.2
650;204;65.7;94.2
660;210;75.1;91.4
670;217;86.7;86.7
680;223;99.6;82
690;229;114.5;74.4
700;234;128.1;66.1
710;237;142.1;57.4
720;240;156.2;48.6
730;243;170.4;39.7
740;244;182.1;32.2
750;245;193.4;25.4
760;236;202;20.2
770;246;208;16.1
780;245;213;14
790;244;214;13.2
800;241;211;13.6
810;236;207;14.7
820;232;201;16.6
830;226;193;18.5
840;219;184;20.1
850;214;176;21.9
